question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
アンパサンド (&) は何を意味する記号ですか？,アンパサンド (&) は、並立助詞「…と…」を意味する記号です。,fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アンパサンドの起源は何ですか？,"アンパサンドは、ラテン語で「…と…」を表す接続詞 ""et"" の合字を起源とします。",reason,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
"英語の教育現場で、アルファベットを復唱する際に、 ""A per se A"" のように唱えられていた ""per se"" は何を意味しますか？","""per se"" はラテン語で「それ自体」という意味です。",fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
"英語のアルファベットの復唱の最後が ""X, Y, Z, and per se and"" という形になった理由は何ですか？","""&"" がラテン語の et から英語の and と読まれるようになり、アルファベットの最後に加えられたためです。",reason,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アンパサンドという言葉が英語の一般的な語法となったのはいつですか？,アンパサンドという言葉が英語の一般的な語法となったのは1837年までです。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
アンパサンドの起源はどこに遡ることができますか？,アンパサンドの起源は1世紀の古ローマ筆記体に遡ることができます。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
カロリング小文字体に至るラテン文字の変遷の過程で、et の合字はどうなりましたか？,カロリング小文字体に至る過程で、一般的に合字の使用は廃れましたが、et の合字は使われ続け、次第に元の文字がわかりにくい字形に変化しました。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
"アンパサンドが ""Ampère's and"" と呼ばれるようになったという語源俗説がある理由は何ですか？",アンドレ＝マリ・アンペールがこの記号を自身の著作で使用し、それが広く読まれたため、そのような語源俗説が生まれました。,reason,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
現代のイタリック体のアンパサンドは、何にさかのぼりますか？,現代のイタリック体のアンパサンドは、ルネサンス期に発展した筆記体での et の合字にさかのぼります。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
印刷業者はいつからイタリック体とローマ筆記体のアンパサンドを多用するようになりましたか？,1455年のヨーロッパにおける印刷技術の発明以降、印刷業者はイタリック体とローマ筆記体のアンパサンドの両方を多用するようになりました。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
アンパサンドがラテンアルファベットを使用する多くの言語で使用されるようになった理由は何ですか？,アンパサンドのルーツはローマ時代にさかのぼるため、ラテンアルファベットを使用する多くの言語で使用されるようになりました。,reason,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
Byrhtferthの文字表では、アンパサンドはどのように扱われていましたか？,1011年のByrhtferthの文字表では、アンパサンドはラテンアルファベットの最後の文字とされることがありました。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
童謡 Apple Pie ABC の最後の歌詞には、アンパサンドの他に何が含まれていますか？,"X, Y, Z が含まれています。",fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
ティロ式記号の et は何に似た形をしていますか？,数字の「7」に似た形をしています。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
アンパサンドとティロ式記号の et は、何を表すために使用されていましたか？,両者はともにラテン語の et を表すために使用されていました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
古アイルランド語の文字では、ティロ式記号の et は何を表すために使用されていましたか？,アイルランド語の agus（「…と…」）を表すために使用されていました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
アンパサンドがアイルランドの書き文字に加えられた可能性のある背景は何ですか？,アイルランドにおけるキリスト教時代初期に、修道院の影響によって書き文字に加えられた可能性があります。,reason,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
日常的な手書きにおいて、アンパサンドはどのように単純化されることが多いですか？,欧米では、小文字のイプシロンを大きくしたもの、あるいは数字の '3' の鏡文字に縦線を加えた形で単純化されます。,fact,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
プラス記号（+）はアンパサンドの代わりにどのような用法で使用されますか？,くだけた用法として、アンパサンドの代わりに使われることがあります。,application,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
ティロの速記で「et」を表す記号は何ですか？,ティロの速記には「」(U+204A Tironian sign et)があります。,fact,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
C言語において、`A && B` はどのような演算を表しますか？,`A && B` は論理 AND 演算を表し、AとBがともに真の場合に真を、それ以外の場合は偽を返します。,fact,wikipedia_ja_0_アンパサンド_chunk_5,wikipedia_ja_0_アンパサンド,wikipedia_ja,5,gemini
C言語において、`0x12345678 & 0x0f0f0f0f` はどのような演算を表し、結果はどうなりますか？,これはビット AND 演算を表し、各ビットごとにAND演算を行います。結果は `0x02040608` になります。,fact,wikipedia_ja_0_アンパサンド_chunk_5,wikipedia_ja_0_アンパサンド,wikipedia_ja,5,gemini
PHPで変数を参照渡しにするには、アンパサンドをどのように使用しますか？,変数宣言記号（$）の直前にアンパサンドを記述することで、変数を参照渡しにすることができます。,application,wikipedia_ja_0_アンパサンド_chunk_5,wikipedia_ja_0_アンパサンド,wikipedia_ja,5,gemini
BASIC系の言語において、アンパサンドはどのような演算子として使用されますか？,"BASIC系の言語では、アンパサンドは文字列の連結演算子として使用されます。例えば、`""foo"" & ""bar""` は `""foobar""` を返します。",fact,wikipedia_ja_0_アンパサンド_chunk_5,wikipedia_ja_0_アンパサンド,wikipedia_ja,5,gemini
狭義の「言語」とは何を指しますか？,狭義には「声による記号の体系」を指します。,fact,wikipedia_ja_1_言語_chunk_0,wikipedia_ja_1_言語,wikipedia_ja,0,gemini
広辞苑と大辞泉は、言語をどのように解説していますか？,人間が音声や文字を用いて思想・感情・意志などを伝達するために用いる記号体系、およびそれを用いる行為と解説されています。,fact,wikipedia_ja_1_言語_chunk_0,wikipedia_ja_1_言語,wikipedia_ja,0,gemini
言語は、どのような目的で使用されますか？,言語は、人の意志・思想・感情などの情報を表現したり伝達したり、あるいは他者のそれを受け入れ、理解するために使用されます。,reason,wikipedia_ja_1_言語_chunk_0,wikipedia_ja_1_言語,wikipedia_ja,0,gemini
ソシュールの用語「langue」の日本語訳は何ですか？,ソシュールの用語「langue」は、日本語で「言語」と訳されます。,fact,wikipedia_ja_1_言語_chunk_0,wikipedia_ja_1_言語,wikipedia_ja,0,gemini
『日本大百科全書』における「言語」という語の多義性について、どのような解説がされていますか？,大脳に蓄えられた語彙と文法規則の体系、その体系を用いる能力、すべての人間が共有する言語能力、個々の個別言語といった意味合いで解説されています。,fact,wikipedia_ja_1_言語_chunk_1,wikipedia_ja_1_言語,wikipedia_ja,1,gemini
広義の言語にはどのような要素が含まれますか？,verbalな（言葉に表す）ものとnon-verbalな（言葉として表されない）もの（各種記号、アイコン、図形、ボディーランゲージ等）の両方が含まれます。,fact,wikipedia_ja_1_言語_chunk_1,wikipedia_ja_1_言語,wikipedia_ja,1,gemini
言語は人間の社会的活動や文化的活動をどのように支えていますか？,意志を相互に伝達することや、抽象的な思考を可能にすることで、人間の社会的活動や文化的活動を支えています。,reason,wikipedia_ja_1_言語_chunk_1,wikipedia_ja_1_言語,wikipedia_ja,1,gemini
日常のコミュニケーションにおいて、狭義の言語表現以外にどのようなものが加えられることがありますか？,身振り、手振り、図示、擬音などが狭義の言語表現に加えて表現されることがあります。,fact,wikipedia_ja_1_言語_chunk_1,wikipedia_ja_1_言語,wikipedia_ja,1,gemini
ソシュール以降、「共同体の用いる言語体系」は何と呼ばれるようになったか？,「langue ラング」と呼ばれるようになった。,fact,wikipedia_ja_1_言語_chunk_2,wikipedia_ja_1_言語,wikipedia_ja,2,gemini
個々の人が行う言語活動は、何という用語で呼ばれるようになったか？,「parole パロール」という用語で呼ばれるようになった。,fact,wikipedia_ja_1_言語_chunk_2,wikipedia_ja_1_言語,wikipedia_ja,2,gemini
言語の習得によって、共同体においてどのような学習や人格形成がなされるのか？,言語の習得によって、共同体での社会的学習と人格の形成が行われる。,reason,wikipedia_ja_1_言語_chunk_2,wikipedia_ja_1_言語,wikipedia_ja,2,gemini
文字表現と非文字表現の例をそれぞれ挙げてください。,文字表現の例は言語表現と文字記号であり、非文字表現の例は積分記号やト音記号などがある。,fact,wikipedia_ja_1_言語_chunk_2,wikipedia_ja_1_言語,wikipedia_ja,2,gemini
言語表現と区別される文字記号の例として、テキストで挙げられているものは何ですか？,化学式H2Oが例として挙げられています。,fact,wikipedia_ja_1_言語_chunk_3,wikipedia_ja_1_言語,wikipedia_ja,3,gemini
日本語対応手話と日本手話の違いは何ですか？,日本語対応手話は日本語の視覚言語バージョンですが、日本手話は日本語とは異なる視覚言語と考えられています。,comparison,wikipedia_ja_1_言語_chunk_3,wikipedia_ja_1_言語,wikipedia_ja,3,gemini
化学式が言語表現と区別される理由は何ですか？,化学式は自然言語の文法が作用せず、化学式独特の文法で構成されているからです。,reason,wikipedia_ja_1_言語_chunk_3,wikipedia_ja_1_言語,wikipedia_ja,3,gemini
言語的表現は、読み上げや点字化によってどのような表現に変換されますか？,読み上げによって音声表現に、点字化によって触覚表現に変換されます。,fact,wikipedia_ja_1_言語_chunk_3,wikipedia_ja_1_言語,wikipedia_ja,3,gemini
エスペラントは何と呼ばれる言語の一種ですか？,エスペラントは国際補助語と呼ばれる人工言語の一種です。,fact,wikipedia_ja_1_言語_chunk_4,wikipedia_ja_1_言語,wikipedia_ja,4,gemini
ジャック・デリダは何という哲学者の代表と位置づけられていますか？,ジャック・デリダは、一般にポスト構造主義の代表的哲学者と位置づけられています。,fact,wikipedia_ja_1_言語_chunk_4,wikipedia_ja_1_言語,wikipedia_ja,4,gemini
ヘブライ語はどのようにして復活したのですか？,文章語として存続していたヘブライ語を、パレスチナに移住したユダヤ人たちが20世紀に入って日常語として人工的に復活させました。,reason,wikipedia_ja_1_言語_chunk_4,wikipedia_ja_1_言語,wikipedia_ja,4,gemini
自然言語と人工言語の違いは何ですか？,自然言語は自然発生的に生まれた言語であり、人工言語は意図的に作られた言語です。,comparison,wikipedia_ja_1_言語_chunk_4,wikipedia_ja_1_言語,wikipedia_ja,4,gemini
日常語としては消滅しているものの、文章語として存続している言語の例を3つ挙げてください。,古典アラビア語、ラテン語、古典ギリシア語がその例です。,fact,wikipedia_ja_1_言語_chunk_5,wikipedia_ja_1_言語,wikipedia_ja,5,gemini
危機言語とはどのような言語のことですか？,話者数が非常に少なく、他言語に飲み込まれて消滅する危機に瀕している言語のことです。,definition,wikipedia_ja_1_言語_chunk_5,wikipedia_ja_1_言語,wikipedia_ja,5,gemini
危機言語が増加している理由は何ですか？,世界の一体化が進み、交通網やマスメディアの発達によって、孤立していた小さな言語コミュニティが維持できなくなるためと考えられています。,reason,wikipedia_ja_1_言語_chunk_5,wikipedia_ja_1_言語,wikipedia_ja,5,gemini
英語帝国主義とは、言語の危機という視点から見てどのような現象と言えますか？,英語帝国主義とは、英語の国際語としての勢力伸張によって他主要言語の勢力が縮小する現象であり、言語の危機の一因と考えられます。,application,wikipedia_ja_1_言語_chunk_5,wikipedia_ja_1_言語,wikipedia_ja,5,gemini
言語消滅は、どのような状況で起きやすいですか？,言語消滅は、小言語集団が隣接するより大きな言語集団に取り込まれることによって起きやすいです。,reason,wikipedia_ja_1_言語_chunk_6,wikipedia_ja_1_言語,wikipedia_ja,6,gemini
言語消滅が急速に進んでいる地域として、テキストで言及されている場所はどこですか？,テキストでは、北アメリカやオーストラリアなどで言語消滅が急速に進んでいると述べられています。,fact,wikipedia_ja_1_言語_chunk_6,wikipedia_ja_1_言語,wikipedia_ja,6,gemini
経済成長と言語消滅の間にはどのような関係があると考えられていますか？,研究によると、経済成長と言語消滅の間には有意な相関があると考えられています。,fact,wikipedia_ja_1_言語_chunk_6,wikipedia_ja_1_言語,wikipedia_ja,6,gemini
プープー説とは、言語の起源に関するどのような仮説ですか？,プープー説は、思わず出た声から感情に関する語ができたとする言語の起源に関する仮説です。,definition,wikipedia_ja_1_言語_chunk_6,wikipedia_ja_1_言語,wikipedia_ja,6,gemini
ワンワン説では、どのようなものが語源になっているとされていますか？,ワンワン説では、動物の鳴き声が語源になっているとされています。,fact,wikipedia_ja_1_言語_chunk_7,wikipedia_ja_1_言語,wikipedia_ja,7,gemini
ドンドン説では、雷や水はそれぞれどのような音から生まれたとされていますか？,雷は「ピカッ！ゴロゴロ」、水は「ザーッ…」という音から生まれたとされています。,fact,wikipedia_ja_1_言語_chunk_7,wikipedia_ja_1_言語,wikipedia_ja,7,gemini
エイヤコーラ説は、どのような語の成立を説明するものですか？,エイヤコーラ説は、集団行動時の掛け声から行動に関する語ができたとする説です。,fact,wikipedia_ja_1_言語_chunk_7,wikipedia_ja_1_言語,wikipedia_ja,7,gemini
エイヤコーラ説が裏付けられる理由は何ですか？,集団行動をとる時の意味の無いはやし歌が、世界各地に残っている事がエイヤコーラ説の裏付けとなります。,reason,wikipedia_ja_1_言語_chunk_7,wikipedia_ja_1_言語,wikipedia_ja,7,gemini
言語能力の獲得に繋がった可能性がある遺伝子は何ですか？,FOXP2という遺伝子のある種の変異が、言語能力の獲得につながった可能性があります。,fact,wikipedia_ja_1_言語_chunk_8,wikipedia_ja_1_言語,wikipedia_ja,8,gemini
