question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
アンパサンド(&)は何を意味する記号ですか？,アンパサンドは、並立助詞「…と…」を意味する記号です。,fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アンパサンドの起源は何ですか？,"アンパサンドは、ラテン語で「…と…」を表す接続詞 ""et"" の合字を起源とします。",fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
"英語の学校でアルファベットを復唱する際、""A""のような文字に対してどのように唱えられていましたか？","伝統的にラテン語の per se（それ自体）を用いて ""A per se A"" のように唱えられていました。",fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
Trebuchet MSなどのフォントにおけるアンパサンドの字形の特徴は何ですか？,"Trebuchet MSなど一部のフォントでは、アンパサンドの字形が""et""の合字であることが容易にわかるようになっています。",fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アルファベットの27番目の文字として加えられていた記号は何ですか？,"""&""がアルファベットの最後に27番目の文字のように加えられていました。",fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
"""&""は元々何というラテン語として読まれていましたか？","""&""は元々ラテン語で「et」と読まれていました。",fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
"アルファベットの復唱の最後が「X, Y, Z, and per se and」という形になった結果、どのように変化しましたか？",このフレーズが繰り返されるうちに「ampersand」という言葉に変化しました。,reason,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
「ampersand」という言葉が英語の一般的な語法となったのはいつ頃ですか？,「ampersand」という言葉は1837年までには英語の一般的な語法となりました。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
アンパサンドの語源俗説とは何ですか？,アンドレ＝マリ・アンペールが自身の著作でアンパサンドを使用したため、その記号が ,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
アンパサンドの起源はいつですか？,アンパサンドの起源は1世紀の古ローマ筆記体にまでさかのぼることができます。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
古ローマ筆記体におけるEとTはどのように書かれていましたか？,古ローマ筆記体では、E と T はしばしば合字として繋げて書かれていました。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
新ローマ筆記体では、合字はどのように使用されていましたか？,新ローマ筆記体では、さまざまな合字が極めて頻繁に使われるようになりました。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
字形2と3は何の合字の例ですか？,字形2と3は、4世紀中頃における et の合字の例です。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
9世紀のカロリング小文字体に至る過程で、ラテン文字において合字の使用はどのようになりましたか？,一般には廃れていきましたが、et の合字は使われ続けました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
現代のイタリック体のアンパサンドは、何にさかのぼりますか？,現代のイタリック体のアンパサンドは、ルネサンス期に発展した筆記体での et の合字にさかのぼります。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
1455年の印刷技術の発明以降、印刷業者はアンパサンドをどのように使用しましたか？,印刷業者はイタリック体とローマ筆記体のアンパサンドの両方を多用するようになりました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
アンパサンドが多くの言語で使用されるようになった理由は何ですか？,アンパサンドのルーツはローマ時代にさかのぼるため、ラテンアルファベットを使用する多くの言語で使用されるようになりました。,reason,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
