question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx,provider
アンパサンド(&)は何を意味する記号ですか？,並立助詞「…と…」を意味する記号です。,fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アンパサンドの起源は何ですか？,"ラテン語で「…と…」を表す接続詞 ""et"" の合字が起源です。",fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
英語の学校でアルファベットを復唱する際、文字自体が単語となる文字にはどのような表現が用いられていましたか？,伝統的にラテン語の per se（それ自体）を用いて唱えられていました。例えば、A per se A のように唱えられていました。,fact,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
"なぜ、英語の学校でアルファベットを復唱する際に、文字自体が単語となる文字にラテン語の ""per se"" が用いられたのですか？",テキストからは、直接的な理由は不明です。ただし、伝統的に用いられていたことが述べられています。,reason,wikipedia_ja_0_アンパサンド_chunk_0,wikipedia_ja_0_アンパサンド,wikipedia_ja,0,gemini
アルファベットの27番目の文字として加えられた記号は何ですか？,アルファベットの最後に27番目の文字として加えられたのは「&」です。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
「&」は元々何というラテン語として読まれていましたか？,「&」は元々ラテン語で「et」と読まれていました。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
英語のアルファベットの復唱の最後が「ampersand」という言葉になった理由は何ですか？,"アルファベットの復唱の最後のフレーズ「X, Y, Z, and per se and」が繰り返されるうちに「ampersand」となまっていきました。",reason,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
「ampersand」という言葉はいつ頃英語の一般的な語法になりましたか？,「ampersand」という言葉は1837年までには英語の一般的な語法となりました。,fact,wikipedia_ja_0_アンパサンド_chunk_1,wikipedia_ja_0_アンパサンド,wikipedia_ja,1,gemini
"アンパサンドの語源俗説では、なぜ ""Ampère's and"" と呼ばれるようになったとされているか？",アンドレ＝マリ・アンペールが自身の著作でアンパサンドの記号を使い、それが広く読まれたためとされている。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
アンパサンドの起源はいつ頃に遡ることができるか？,アンパサンドの起源は1世紀の古ローマ筆記体にまで遡ることができる。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
古ローマ筆記体におけるアンパサンドの起源はどのようなものだったか？,E と T がしばしば合字として繋げて書かれていた。,reason,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
新ローマ筆記体では、アンパサンドを含む合字はどのような頻度で使用されていたか？,新ローマ筆記体では、さまざまな合字が極めて頻繁に使われるようになった。,fact,wikipedia_ja_0_アンパサンド_chunk_2,wikipedia_ja_0_アンパサンド,wikipedia_ja,2,gemini
字形2と3は何の合字の例ですか？,字形2と3は、4世紀中頃における et の合字の例です。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
カロリング小文字体に至るラテン文字の変遷の過程で、合字の使用はどのように変化しましたか？,一般には廃れていきましたが、et の合字は使われ続けました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
現代のイタリック体のアンパサンドは、何にさかのぼりますか？,ルネサンス期に発展した筆記体での et の合字にさかのぼります。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
印刷技術の発明以降、印刷業者はアンパサンドをどのように扱いましたか？,印刷業者はイタリック体とローマ筆記体のアンパサンドの両方を多用するようになりました。,fact,wikipedia_ja_0_アンパサンド_chunk_3,wikipedia_ja_0_アンパサンド,wikipedia_ja,3,gemini
アンパサンドが多くの言語で使用されるようになった理由は何ですか？,アンパサンドのルーツはローマ時代にさかのぼるため、ラテンアルファベットを使用する多くの言語で使用されるようになりました。,reason,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
1011年のByrhtferthの文字表において、アンパサンドはどのように扱われていましたか？,アンパサンドはラテンアルファベットの最後の文字とされることがありました。Byrhtferthの文字表はその例です。,fact,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
英語アルファベットにおいて、アンパサンドはかつて何番目の文字とされていましたか？,"""&"" は英語アルファベットの27番目の文字とされていました。",fact,wikipedia_ja_0_アンパサンド_chunk_4,wikipedia_ja_0_アンパサンド,wikipedia_ja,4,gemini
